"ano","codmunres","municipio","cobertura_sinasc"
2015,"110001","Alta Floresta D'Oeste",98.2
2015,"110002","Ariquemes",98.5
2015,"110003","Cabixi",98.8
2015,"110004","Cacoal",99.9
2015,"110005","Cerejeiras",99.9
2015,"110006","Colorado do Oeste",99.5
2015,"110007","Corumbiara",99.9
2015,"110008","Costa Marques",95.7
2015,"110009","Espigão D'Oeste",98.8
2015,"110010","Guajará-Mirim",98.3
2015,"110011","Jaru",96.4
2015,"110012","Ji-Paraná",96.1
2015,"110013","Machadinho D'Oeste",97.3
2015,"110014","Nova Brasilândia D'Oeste",99.5
2015,"110015","Ouro Preto do Oeste",98.9
2015,"110018","Pimenta Bueno",99
2015,"110020","Porto Velho",98.8
2015,"110025","Presidente Médici",98.4
2015,"110026","Rio Crespo",99.9
2015,"110028","Rolim de Moura",97.5
2015,"110029","Santa Luzia D'Oeste",96.2
2015,"110030","Vilhena",99.5
2015,"110032","São Miguel do Guaporé",98.6
2015,"110033","Nova Mamoré",98.1
2015,"110034","Alvorada D'Oeste",98.3
2015,"110037","Alto Alegre dos Parecis",97.4
2015,"110040","Alto Paraíso",98
2015,"110045","Buritis",96.2
2015,"110050","Novo Horizonte do Oeste",98.9
2015,"110060","Cacaulândia",98.6
2015,"110070","Campo Novo de Rondônia",95.3
2015,"110080","Candeias do Jamari",98
2015,"110090","Castanheiras",94.7
2015,"110092","Chupinguaia",99.9
2015,"110094","Cujubim",98.3
2015,"110100","Governador Jorge Teixeira",97.8
2015,"110110","Itapuã do Oeste",97.7
2015,"110120","Ministro Andreazza",98.8
2015,"110130","Mirante da Serra",98.8
2015,"110140","Monte Negro",99.1
2015,"110143","Nova União",99.9
2015,"110145","Parecis",99.9
2015,"110146","Pimenteiras do Oeste",99.9
2015,"110147","Primavera de Rondônia",99.9
2015,"110148","São Felipe D'Oeste",99.8
2015,"110149","São Francisco do Guaporé",98.7
2015,"110150","Seringueiras",98.4
2015,"110155","Teixeirópolis",99.9
2015,"110160","Theobroma",95.7
2015,"110170","Urupá",96.3
2015,"110175","Vale do Anari",97.2
2015,"110180","Vale do Paraíso",98.5
2015,"120001","Acrelândia",99.3
2015,"120005","Assis Brasil",94
2015,"120010","Brasiléia",98.2
2015,"120013","Bujari",97.7
2015,"120017","Capixaba",98.3
2015,"120020","Cruzeiro do Sul",98
2015,"120025","Epitaciolândia",98.4
2015,"120030","Feijó",98.2
2015,"120032","Jordão",93.1
2015,"120033","Mâncio Lima",98.5
2015,"120034","Manoel Urbano",94.2
2015,"120035","Marechal Thaumaturgo",96.9
2015,"120038","Plácido de Castro",96.2
2015,"120039","Porto Walter",93.7
2015,"120040","Rio Branco",99
2015,"120042","Rodrigues Alves",94.5
2015,"120043","Santa Rosa do Purus",76.4
2015,"120045","Senador Guiomard",99.3
2015,"120050","Sena Madureira",98.3
2015,"120060","Tarauacá",98.7
2015,"120070","Xapuri",96.6
2015,"120080","Porto Acre",97.7
2015,"130002","Alvarães",57.4
2015,"130006","Amaturá",70.8
2015,"130008","Anamã",86.7
2015,"130010","Anori",96.2
2015,"130014","Apuí",98.1
2015,"130020","Atalaia do Norte",88.7
2015,"130030","Autazes",88.8
2015,"130040","Barcelos",90.3
2015,"130050","Barreirinha",91
2015,"130060","Benjamin Constant",87
2015,"130063","Beruri",95.1
2015,"130068","Boa Vista do Ramos",95.6
2015,"130070","Boca do Acre",93.5
2015,"130080","Borba",95.6
2015,"130083","Caapiranga",94.2
2015,"130090","Canutama",98.2
2015,"130100","Carauari",94.6
2015,"130110","Careiro",96.9
2015,"130115","Careiro da Várzea",92.3
2015,"130120","Coari",96.3
2015,"130130","Codajás",92
2015,"130140","Eirunepé",89.2
2015,"130150","Envira",95
2015,"130160","Fonte Boa",91.8
2015,"130165","Guajará",97.4
2015,"130170","Humaitá",76.3
2015,"130180","Ipixuna",93.7
2015,"130185","Iranduba",97.1
2015,"130190","Itacoatiara",95.9
2015,"130195","Itamarati",92.1
2015,"130200","Itapiranga",97.4
2015,"130210","Japurá",92.8
2015,"130220","Juruá",87.8
2015,"130230","Jutaí",94.5
2015,"130240","Lábrea",90.7
2015,"130250","Manacapuru",96.2
2015,"130255","Manaquiri",70.6
2015,"130260","Manaus",99.2
2015,"130270","Manicoré",96
2015,"130280","Maraã",93.6
2015,"130290","Maués",93
2015,"130300","Nhamundá",94.9
2015,"130310","Nova Olinda do Norte",93.3
2015,"130320","Novo Airão",97.5
2015,"130330","Novo Aripuanã",96.8
2015,"130340","Parintins",96.1
2015,"130350","Pauini",78.7
2015,"130353","Presidente Figueiredo",98.9
2015,"130356","Rio Preto da Eva",80.9
2015,"130360","Santa Isabel do Rio Negro",89.3
2015,"130370","Santo Antônio do Içá",91.7
2015,"130380","São Gabriel da Cachoeira",89.4
2015,"130390","São Paulo de Olivença",72.4
2015,"130395","São Sebastião do Uatumã",94.9
2015,"130400","Silves",98.2
2015,"130406","Tabatinga",89.1
2015,"130410","Tapauá",91.5
2015,"130420","Tefé",89.8
2015,"130423","Tonantins",90.3
2015,"130426","Uarini",60.2
2015,"130430","Urucará",90.1
2015,"130440","Urucurituba",95.6
2015,"140002","Amajari",92.4
2015,"140005","Alto Alegre",89.9
2015,"140010","Boa Vista",96.6
2015,"140015","Bonfim",90.2
2015,"140017","Cantá",90.7
2015,"140020","Caracaraí",94.7
2015,"140023","Caroebe",97.7
2015,"140028","Iracema",89.2
2015,"140030","Mucajaí",94.9
2015,"140040","Normandia",91.5
2015,"140045","Pacaraima",90.9
2015,"140047","Rorainópolis",93.9
2015,"140050","São João da Baliza",88.6
2015,"140060","São Luiz",95.4
2015,"140070","Uiramutã",92.5
2015,"150010","Abaetetuba",97
2015,"150013","Abel Figueiredo",98.3
2015,"150020","Acará",93
2015,"150030","Afuá",79.5
2015,"150034","Água Azul do Norte",99
