"local";"valor_2012_tx_fecundidade_10_a_14";"valor_2021_tx_fecundidade_10_a_14";"Mann_Kendall_z_tx_fecundidade_10_a_14";"Mann_Kendall_p_tx_fecundidade_10_a_14";"valor_2012_tx_fecundidade_15_a_19";"valor_2021_tx_fecundidade_15_a_19";"Mann_Kendall_z_tx_fecundidade_15_a_19";"Mann_Kendall_p_tx_fecundidade_15_a_19"
"Brasil";3,4;2,4;-3,282;0,00103;61,9;45,3;-3,399;0,00068
"Acre";7,1;6,4;-1,443;0,14911;101,3;79,4;-3,143;0,00167
"Amapá";5,8;5,1;-2,525;0,01158;94,9;78,5;-3,041;0,00236
"Amazonas";7,2;6,2;-3,066;0,00217;101,9;88,1;-3,041;0,00236
"Pará";5,7;4,9;-2,735;0,00624;88,9;73;-3,323;0,00089
"Rondônia";3,6;2,7;-2,326;0,02004;73,6;54,6;-3,757;0,00017
"Roraima";8,3;7,1;-1,803;0,07133;94,7;92,6;-0,358;0,72051
"Tocantins";5,3;4,3;-2,451;0,01424;79,8;65;-3,22;0,00128
"Alagoas";6,1;4,3;-3,607;0,00031;81,5;68,5;-2,784;0,00537
"Bahia";4;3;-3,387;0,00071;65,4;48,3;-3,935;8e-05
"Ceará";3,9;3;-2,735;0,00624;59,7;45,2;-3,22;0,00128
"Maranhão";5,3;4,7;-2,917;0,00353;84;70,2;-2,504;0,01227
"Paraíba";3,7;2,6;-2,705;0,00683;64,8;53,4;-3,041;0,00236
"Pernambuco";4,3;2,9;-3,323;0,00089;71,5;52,4;-3,578;0,00035
"Piauí";3,7;3,2;-1,823;0,06827;67,8;55,2;-2,504;0,01227
"Rio Grande do Norte";4;2,6;-3,143;0,00167;62,5;44,9;-3,578;0,00035
"Sergipe";4,1;3,3;-2,525;0,01158;67,7;52,1;-2,862;0,00421
"Distrito Federal";2,1;1,1;-3,099;0,00194;49;29,5;-3,757;0,00017
"Goiás";3,1;1,9;-3,426;0,00061;59,9;43,3;-3,22;0,00128
"Mato Grosso";4,1;3,7;-2,735;0,00624;73,8;61,6;-2,963;0,00304
"Mato Grosso do Sul";5;3,2;-3,399;0,00068;78,1;55,9;-3,399;0,00068
"Espírito Santo";2,8;2,3;-2,425;0,01532;57,7;43,2;-3,22;0,00128
"Minas Gerais";2;1,4;-3,099;0,00194;48,2;34,9;-3,399;0,00068
"Rio de Janeiro";2,9;1,9;-3,041;0,00236;56,6;40,3;-2,963;0,00304
"São Paulo";2,2;1,1;-3,502;0,00046;51,7;30,8;-3,722;2e-04
"Paraná";3;1,6;-3,426;0,00061;59,1;36,9;-3,578;0,00035
"Rio Grande do Sul";2,2;1,3;-3,066;0,00217;50,2;31,2;-3,502;0,00046
"Santa Catarina";2,2;1,1;-3,35;0,00081;48,2;35;-2,963;0,00304
